"name","address","latitude","longitude","b_type"
"St James Presbyterian Church","240 Leland Ave",37.7130227787148,-122.408243542933,"faith"
"St John Baptist Serbian Orthodox Church","900 Baker St",37.7795929910907,-122.441479161024,"faith"
"St Luke's Baptist Church","343 Paul Ave",37.7230308606887,-122.399141075111,"faith"
"St Matthews Lutheran Church","3281 16th St",37.7646178836345,-122.425930181858,"faith"
"St Cyprian's Episcopal Church","2097 Turk Blvd",37.7789019764935,-122.443361473961,"faith"
"San Francisco Chinese Alliance Church","1150 Vicente St",37.7393390465608,-122.479401672057,"faith"
"All Saints Episcopal Church","1350 Waller St",37.7694557893724,-122.446003031528,"faith"
"Buddhist Assn of San Fran Inc","5230 Fulton St",37.7726513459853,-122.487950913527,"faith"
"Bethany Little Baptist Church","1636 Armstrong Ave",37.726893736246,-122.392883137577,"faith"
"Church of God In Christ 2","1823 Turk St",37.7792856500042,-122.439381440373,"faith"
"CHI Sin Buddhist & Taoist Assn","1051 Powell St",37.7943992871226,-122.409878301214,"faith"
"Christ Missionary Baptist Church","1501 Oakdale Ave",37.7335213114576,-122.388578288048,"faith"
"Church of Nativity","445 Church St",37.7637466629076,-122.428187709278,"faith"
"Faith Temple Church of God In Christ","1758 Oakdale Ave",37.7364730952693,-122.393105942207,"faith"
"Galilee Baptist Church","1901 Oakdale Ave",37.7376500914603,-122.396255588087,"faith"
"Islamic Society of San Francisco","20 Jones St FL 3",37.7814305896644,-122.411781286212,"faith"
"Jones Memorial United Methodist Church","1975 Post St",37.7848046716369,-122.434247092055,"faith"
"Zion Hill Missionary Baptist Church","55 Broad St",37.7131471374354,-122.45487921156,"faith"
"Ascension Baptist Church","1311 Quesada Ave",37.7291587427556,-122.384611896928,"faith"
"Bethel Missionary Baptist","232 Randolph St",37.7145365949081,-122.464982833193,"faith"
"Central Congrg of Jehovah's Witns","501 Fulton St",37.7783293647867,-122.425229772747,"faith"
"St John's Presbyterian Church","25 Lake St",37.7867920194873,-122.459556224945,"faith"
"Macedonia Missionary Baptist Church","2135 Sutter St",37.7855114207329,-122.435537554597,"faith"
"Centro Evangelistico Hispano","29 Adair St",37.7655910500254,-122.418043366495,"faith"
"New Stranger's Home Baptist Church","1442 Fulton St",37.7768375999612,-122.440602532075,"faith"
"New Home Baptist Church Corporation","1763 Newcomb Ave",37.7367760535723,-122.393045204544,"faith"
"Capuchin Franciscan Order of California","750 Anza St",37.7803183519342,-122.454842546367,"faith"
"Saint Francis Zavier Church","1801 Octavia St",37.7887831767016,-122.42719922473,"faith"
"Paradise Monastery of San Francisco","789 10th Ave",37.7735662498928,-122.468276737287,"faith"
"Rescue Prayer Mission Church of God Inc","263 Lee Ave",37.7229966376676,-122.454427483301,"faith"
"Tree of Life Baptist Church","530 Tompkins Ave",37.7369292964653,-122.413057294696,"faith"
"Templo De La Fe","225 Valencia St",37.7694418845057,-122.422042119033,"faith"
"Visitacion Chinese Baptist Mission","61 Leland Ave",37.7116341726453,-122.405021021283,"faith"
"Sunset Bible Assembly of San Francisco California","1690 21st Ave",37.7562693047722,-122.478583547973,"faith"
"St Thomas More Catholic Church","1300 Junipero Serra Blvd",37.7141978684301,-122.471844335494,"faith"
"Broad Street Baptist Church","267 Farallones St",37.7137818757914,-122.461577934194,"faith"
"The Roman Catholic Archdiocese of San Francisco","725 Diamond St",37.7516323846006,-122.436017285261,"faith"
"City View Church","884 Rhode Island St",37.7585732599512,-122.402287888255,"faith"
"Missionary Society of St Paul The Apostle","614 Grant Ave",37.7928152999218,-122.405709725458,"faith"
"Church of Natural Grace","970 Valencia St",37.7573584387012,-122.421496428808,"faith"
"Siloam Church","401 Dewey Blvd",37.7468927657482,-122.459231196162,"faith"
"First Slavic Baptist Church","1300 Balboa St",37.7770160649241,-122.472884462063,"faith"
"Roca De Salvacion Church","2711 22nd St",37.7559329799438,-122.408691188085,"faith"
"Israel Congregation Adath","1851 Noriega St",37.7536644723636,-122.483766339673,"faith"
"Pilgrim Community Church","400 Randolph St",37.7145244600369,-122.466562956279,"faith"
"Secular Franciscan Order","109 Golden Gate Ave",37.7781178173071,-122.442172557202,"faith"
"Calvary Apostolic Church","1869 Oakdale Ave",37.7372772723395,-122.39557465445,"faith"
"Mission Korean Presbyterian Church","30 Norwich St",37.745477452151,-122.411148091481,"faith"
"Christian Counseling Centers Inc","2030 Divisadero St",37.7885715478018,-122.440200331242,"faith"
"I Kuan Tao Foundation of America","1407 9th Ave",37.7619185496419,-122.466384422972,"faith"
"Twenty First Ave Baptist Church","380 21st Ave",37.7808179663649,-122.480157634985,"faith"
"Congrg Chevra Thilim","751 25th Ave",37.7753101060555,-122.484927330048,"faith"
"San Francisco Korean United Methodist Church","3030 Judah St",37.7611582060084,-122.494902455368,"faith"
"Central Seventh Day Adventist Church","2889 California St",37.7877157562353,-122.439292181624,"faith"
"Calvary Presbyterian Church & Congregation","2515 Fillmore St",37.7927390123054,-122.435115737731,"faith"
"Saint George Pathfinders Inc","6231 Geary Blvd",37.7796720529632,-122.486375612961,"faith"
"Saint Stephen Baptist Church","800 22nd St",37.7580883833472,-122.389447510835,"faith"
"Wright Chapel African Methodist Episcop","627 Capitol Ave",37.7162137075958,-122.459346413509,"faith"
"Swedenborgian Church","3200 Washington St",37.7901675266443,-122.445986629497,"faith"
"Zion Chapel Church of God In Christ","1221 Hawes St",37.7282813506235,-122.381623825067,"faith"
"Kingdom Hall of Jehovahs Witnesses","4360 Mission St",37.7279833361906,-122.432495973464,"faith"
"Jehovah's Witnesses Mission Congrg","1342 Alabama St",37.7501570760202,-122.410998872128,"faith"
"Jehovah's Witnesses Ingleside Congregation","11 Bright St",37.710974824406,-122.463872369289,"faith"
"Sion Iglesia","2764 Folsom St",37.7529978673651,-122.414479676078,"faith"
"Home of Christ Church","465 West Portal Ave",37.7356794090241,-122.470823003931,"faith"
"Congregation Beth Sholom, San Francisco","301 14th Ave",37.7823274679533,-122.473267541256,"faith"
"Geneva Ave United Methodist Church","1261 Geneva Ave",37.713848704275,-122.435119140389,"faith"
"Sharon Chinese Baptist Church of San Francisco","1620 Irving St",37.7638817263068,-122.475537243922,"faith"
"Kingdom Hall of Jehovah's Witnesses","3435 Alemany Blvd",37.7110132932869,-122.463278362712,"faith"
"James Memorial Church of God In Christ","1470 Shafter Ave",37.7298682280398,-122.388122121153,"faith"
"San Francisco Neighborhood Church","302 Jules Ave",37.72376078722,-122.460959623516,"faith"
"Shiloh Full Gospel Church, Inc","5122 3rd St",37.7319651230366,-122.391899138458,"faith"
"St Marks Lutheran Church","1111 Ofarrell St",37.7842098481051,-122.423323927452,"faith"
"Liberty Presbyterian Church","1312 Gateview Ave Unit B",37.8291576555828,-122.37599991726,"faith"
"St Gregory Nyssen Episcopal Church","500 De Haro St",37.7633504871139,-122.401775200322,"faith"
"Sunyata Thc","370 Ellis St APT 1",37.7852165399703,-122.412294938943,"faith"
"The Church of Jesus Christ of Latter-Day Saints","1900 Pacific Ave",37.7946588474414,-122.426906669998,"faith"
"Iglesia El Rufugio El Cristo Jesus","2245 Geneva Ave",37.7083898754513,-122.419256642595,"faith"
"St Thomas Apostle Church","40 Balboa St",37.77744796971,-122.463236236148,"faith"
"San Francisco Spiritual Enrichment Center","2118 Hayes St",37.7733274410081,-122.451319081742,"faith"
"The City of Refuge Community Church","1025 Howard St",37.7789481402534,-122.407523834404,"faith"
"Wong Tai Sin Temple Service","586 6th Ave",37.7775072319242,-122.463960990255,"faith"
"First Chinese Southern Baptist Church, Inc","1255 Hyde St",37.79261121198,-122.417945576458,"faith"
"Holy Innocents Episcopal Church","455 Fair Oaks St",37.7493843605921,-122.423420863522,"faith"
"Cultural Integration Fellowship","360 Cumberland St",37.7589212716083,-122.431692083078,"faith"
"Jehovah's Witnesses Golden Gate Park","2500 Fulton St",37.7745666401201,-122.458691427048,"faith"
"Japanese Baptist Church","1388 19th Ave",37.7619151571727,-122.47683408572,"faith"
"Trinity Chamber Concerts","1506 Sanchez St",37.74488239471,-122.429282593676,"faith"
"Calvary Chapel of San Francisco","5939 California St",37.7838157084502,-122.481394671106,"faith"
"Golden Gate Community Church O","372 7th Ave",37.7816030003695,-122.465070780673,"faith"
"Che Kan. Kok Temple","887 Union St",37.7996621142046,-122.413824942616,"faith"
"Universal Assembly of Pentecostal Churches of San Francisco","2902 23rd St",37.7545617725339,-122.410389951446,"faith"
"St Finn Barr S Catholic Church","415 Edna St",37.7303611336267,-122.446848920007,"faith"
"True Gospel Baptist Church","106 Broad St",37.7132466240954,-122.456313823765,"faith"
"Uptown Church of Christ","949 Fillmore St",37.7781305587742,-122.432021485656,"faith"
"Buddhist Church of San Francisco","1881 Pine St",37.788582738227,-122.426710110299,"faith"
"Church of Scientology","530 Howard St Ste 100",37.7881157017156,-122.39714097015,"faith"
"Love Divine Records","434 Page St",37.7735606112468,-122.427994111624,"faith"
"St Charles Church","713 S Van Ness Ave",37.7615851488992,-122.416785554041,"faith"
"Bell Chapel Christian Methodist Episcopcal Church Inc","1397 Palou Ave",37.7316022554832,-122.387178258768,"faith"
"Missionaries of Charity","312 29th St",37.7438773960959,-122.427452911736,"faith"
"Hope Good Baptist Church","551 Nevada St",37.7351610056636,-122.411588781927,"faith"
"St Paul's Ccd Office","1660 Church St",37.7442209565951,-122.427259545005,"faith"
"Templo El Calvario Assemblies of God","1419 Howard St",37.7733508509567,-122.414792891919,"faith"
"Bethel African Methodist Episcopal Church of San Francisco","916 Laguna St",37.7797942850266,-122.426634308607,"faith"
"Saint Thomas Episcopal Church","2725 Sacramento St",37.7889919417855,-122.438469188927,"faith"
"All Saints Co.","555 De Haro St Ste 330",37.7626813489155,-122.400909298124,"faith"
"Parkside Community Church","2250 Ulloa St",37.741171095354,-122.480756104728,"faith"
"Seventh Day Adventist Russian","649 8th Ave",37.7761891457302,-122.466409820115,"faith"
"American Buddhist Cultural Society","1750 Van Ness Ave",37.7917714066907,-122.422367220893,"faith"
"Abenezer Evangelical Church, Inc.","1424 Eddy St",37.7816991960256,-122.431065456066,"faith"
"Community of Christ","275 Taraval St",37.7431883245477,-122.468922011223,"faith"
"Lutheran Church of The Holy Spirit","2400 Noriega St",37.753917564361,-122.489681585892,"faith"
"Woman Vision","3570 Clay St",37.7887699594723,-122.451660981759,"faith"
"New Life Community Church","300 Ulloa St",37.7418443976609,-122.458548370267,"faith"
"Providence Christian Center","220 Turk St",37.7780024490017,-122.453883225904,"faith"
"Saint Nicholas Orthodox Church","5200 Diamond Heights Blvd",37.7449161800158,-122.440393312562,"faith"
"Union Spring Missionary Baptist Inc","101 Fillmore St",37.7703364303914,-122.430354698733,"faith"
"Rock of Ages Church","1095 Gilman Ave",37.719021300479,-122.390066424268,"faith"
"Saint George Orthodox Church of Jerusalem","399 San Fernando Way",37.7305894960568,-122.469622103844,"faith"
"Unity Church of San Francisco","2222 Bush St",37.7872297021951,-122.433951022621,"faith"
"First Friendship Institutional Baptist Church Inc","501 Steiner St",37.7739330823644,-122.432771917843,"faith"
"MA-Tsu Temple of USA","2548 24th Ave",37.7400086183702,-122.480522574448,"faith"
"Congregation Magain David Sephardim-Orth","351 4th Ave",37.7820953254684,-122.462541041396,"faith"
"Corporate Accountability Interfaith Council","4407 20th St",37.7573220915083,-122.437100596713,"faith"
"Dignity USA Inc","1329 7th Ave",37.7634952455755,-122.464457830751,"faith"
"Iglesia Bautista Balboa","39 Amazon Ave",37.7171924245554,-122.439665669415,"faith"
"Seventh-Day Adventist Tabernacle","673 Capp St",37.7561054030345,-122.417399281997,"faith"
"First Samoan Congregational Christian Church","260 Sagamore St",37.711680224725,-122.46125330408,"faith"
"Saint Paul Tabernacle Baptist Church","1789 Oakdale Ave",37.7363704097569,-122.393996455077,"faith"
"Church of The Living God P G of T","67 Gladstone Dr",37.7302189646858,-122.419999823454,"faith"
"Faith Tabernacle Church","640 Palmetto Ave",37.7108696925243,-122.469943687523,"faith"
"Ecumenical Assoc For Hous","190 Denslowe Dr",37.7213940046434,-122.474775005406,"faith"
"Chabad of San Fancisco","830 28th Ave",37.7736813321011,-122.487160467535,"faith"
