"address","latitude","longitude"
"290 Green St, San Francisco, CA 94133",37.8001289367676,-122.404067993164
"280 Green St, San Francisco, CA 94133",37.8001518249512,-122.403877258301
"1360 Kearny St, San Francisco, CA 94133",37.8006286621094,-122.405952453613
"3 Windsor Pl, San Francisco, CA 94133",37.8000551462173,-122.405389845371
"387 Union St, San Francisco, CA 94133",37.800853729248,-122.405830383301
"1340 Kearny St, San Francisco, CA 94133",37.8004493713379,-122.405921936035
"301 Union St, San Francisco, CA 94133",37.8009986877441,-122.404647827148
"1207 Montgomery St, San Francisco, CA 94133",37.8002201020718,-122.404259964824
"1312 Kearny St, San Francisco, CA 94133",37.8001175075769,-122.405859231949
"360 Green St, San Francisco, CA 94133",37.799976348877,-122.405258178711
"423 Union St, San Francisco, CA 94133",37.8007888793945,-122.406494140625
"471 Union St, San Francisco, CA 94133",37.8006935119629,-122.407150268555
"401 Union St, San Francisco, CA 94133",37.8008232116699,-122.406143188477
"453 Union St, San Francisco, CA 94133",37.8007202148438,-122.406959533691
"421 Union St, San Francisco, CA 94133",37.8008079528809,-122.406318664551
"1434 Grant Ave, San Francisco, CA 94133",37.8000638633966,-122.407472580671
"2 Sonoma St, San Francisco, CA 94133",37.8000221252441,-122.406242370605
"412 Green St, San Francisco, CA 94133",37.7998580932617,-122.406089782715
"1400 Grant Ave, San Francisco, CA 94133",37.7999534606934,-122.407447814941
"24 Jasper Pl, San Francisco, CA 94133",37.8000030517578,-122.408248901367
"567 Union St, San Francisco, CA 94133",37.8004913330078,-122.408729553223
"1499 Grant Ave, San Francisco, CA 94133",37.8004950284958,-122.407569810748
"538 Green St, San Francisco, CA 94133",37.7996139526367,-122.408050537109
"601 Union St, San Francisco, CA 94133",37.8004078567028,-122.40934073925
"644 Green St, San Francisco, CA 94133",37.7993965148926,-122.409942626953
"575 Columbus Ave, San Francisco, CA 94133",37.8001823425293,-122.409980773926
"1614 Powell St, San Francisco, CA 94133",37.799560546875,-122.410675048828
"501 Columbus Ave, San Francisco, CA 94133",37.7998657226562,-122.409515380859
"701 Union St, San Francisco, CA 94133",37.8002090454102,-122.411056518555
"1615 Powell St, San Francisco, CA 94133",37.7995910644531,-122.410682678223
"755 Union St, San Francisco, CA 94133",37.8001022338867,-122.411796569824
"1753 Mason St, San Francisco, CA 94133",37.7998733520508,-122.412437438965
"1717 Mason St, San Francisco, CA 94133",37.7994499206543,-122.412353515625
"1950 Jones St, San Francisco, CA 94133",37.7992706298828,-122.415710449219
"980 Green St, San Francisco, CA 94133",37.7987594604492,-122.4150390625
"1931 Jones St, San Francisco, CA 94133",37.7992668151855,-122.415710449219
"1011 Union St, San Francisco, CA 94133",37.7995796203613,-122.416023254395
"1900 Leavenworth St, San Francisco, CA 94133",37.798656463623,-122.417266845703
"1019 Union St, San Francisco, CA 94133",37.7995681762695,-122.416122436523
"1060 Green St, San Francisco, CA 94133",37.7985649108887,-122.416580200195
"1928 Leavenworth St, San Francisco, CA 94133",37.7988106012344,-122.417292147875
"1955 Leavenworth St, San Francisco, CA 94133",37.799243927002,-122.417373657227
"1954 Hyde St, San Francisco, CA 94109",37.7990074157715,-122.419021606445
"1125 Union St, San Francisco, CA 94109",37.7993583679199,-122.417831420898
"1925 Leavenworth St, San Francisco, CA 94133",37.7988777160645,-122.417304992676
"1129 Union St, San Francisco, CA 94109",37.7993469238281,-122.417930603027
"1170 Green St, San Francisco, CA 94109",37.7983055114746,-122.418518066406
"1164 Green St, San Francisco, CA 94109",37.7983245849609,-122.418365478516
"2240 Larkin St, San Francisco, CA 94109",37.7986145019531,-122.420600891113
"2200 Larkin St, San Francisco, CA 94109",37.7982368469238,-122.420524597168
"1287 Green St, San Francisco, CA 94109",37.7980995178223,-122.42024230957
"1201 Green St, San Francisco, CA 94109",37.7982330322266,-122.41911315918
"1801 Hyde St, San Francisco, CA 94109",37.7975120544434,-122.418716430664
"1861 Hyde St, San Francisco, CA 94109",37.7980766296387,-122.418823242188
"2120 Larkin St, San Francisco, CA 94109",37.7974166870117,-122.420372009277
"1841 Hyde St, San Francisco, CA 94109",37.7978973388672,-122.418785095215
"1269 Green St, San Francisco, CA 94109",37.7981414794922,-122.419944763184
"1250 Vallejo St, San Francisco, CA 94109",37.797435760498,-122.417945861816
"1145 Green St, San Francisco, CA 94109",37.7983665466309,-122.418075561523
"1815 Leavenworth St, San Francisco, CA 94109",37.7978439331055,-122.417098999023
"1811 Leavenworth St, San Francisco, CA 94109",37.797779083252,-122.417083740234
"1825 Leavenworth St, San Francisco, CA 94109",37.7979125976562,-122.417114257813
"1818 Hyde St, San Francisco, CA 94109",37.797679901123,-122.418746948242
"1294 Vallejo St, San Francisco, CA 94109",37.7973670959473,-122.418464660645
"1274 Vallejo St, San Francisco, CA 94109",37.7973937988281,-122.418266296387
"1812 Hyde St, San Francisco, CA 94109",37.7975553274155,-122.418722435832
"1111 Green St, San Francisco, CA 94109",37.7984237670899,-122.417671203613
"1181 Green St, San Francisco, CA 94109",37.7983123809099,-122.418472990394
"1845 Leavenworth St, San Francisco, CA 94109",37.7980918884277,-122.417152404785
"1828 Hyde St, San Francisco, CA 94109",37.7977485656738,-122.418762207031
"1800 Leavenworth St, San Francisco, CA 94109",37.7977676391602,-122.417083740234
"1097 Green St, San Francisco, CA 94133",37.7985153198242,-122.416961669922
"755 Green St, San Francisco, CA 94133",37.7991943359375,-122.411567687988
"1555 Powell St, San Francisco, CA 94133",37.7991371154785,-122.410583496094
"880 Vallejo St, San Francisco, CA 94133",37.7982177734375,-122.411720275879
"1618 Mason St, San Francisco, CA 94133",37.7984771728516,-122.412155151367
"810 Vallejo St, San Francisco, CA 94133",37.7983207702637,-122.410842895508
"1411 Stockton St, San Francisco, CA 94133",37.7989234924316,-122.408843994141
"2 Emery Ln, San Francisco, CA 94133",37.7986154705286,-122.409666627645
"1327 Grant Ave, San Francisco, CA 94133",37.7991523742676,-122.407272338867
"517 Green St, San Francisco, CA 94133",37.7996520996094,-122.407745361328
"1363 Grant Ave, San Francisco, CA 94133",37.7995758056641,-122.407363891602
"1223 Kearny St, San Francisco, CA 94133",37.7993469238281,-122.405708312988
"566 Vallejo St, San Francisco, CA 94133",37.7988624572754,-122.406677246094
"1217 Kearny St, San Francisco, CA 94133",37.7992203086615,-122.405679523945
"1350 Grant Ave, San Francisco, CA 94133",37.799503326416,-122.407348632813
"423 Green St, San Francisco, CA 94133",37.7998184412718,-122.406386956573
"1336 Grant Ave, San Francisco, CA 94133",37.7993316650391,-122.40731048584
"15 San Antonio Pl, San Francisco, CA 94133",37.7993431091309,-122.406219482422
"435 Green St, San Francisco, CA 94133",37.7998199462891,-122.406364440918
"552 Vallejo St, San Francisco, CA 94133",37.7988777160645,-122.406547546387
"480 Vallejo St, San Francisco, CA 94133",37.799015045166,-122.40544128418
"325 Green St, San Francisco, CA 94133",37.8000602722168,-122.404640197754
"1137 Montgomery St, San Francisco, CA 94133",37.7997055053711,-122.404151916504
"1141 Montgomery St, San Francisco, CA 94133",37.7997970581055,-122.404167175293
"345 Green St, San Francisco, CA 94133",37.8000221252441,-122.404968261719
"359 Green St, San Francisco, CA 94133",37.7999801635742,-122.405235290527
